date,year,month,city,product_id,product_name,category,sub_category,channel,customer_type,unit_price,sales_qty,revenue,cost,profit,discount,rating
2025-08-05,2025,8,Asahan,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,7058716,2,12282165,8223856,4058309,0.13,4.6
2025-08-04,2025,8,Tanjungbalai,DT-1001,Laptop Pro,Electronics,Laptop,Retail,Individual,16095177,14,189279281,132852679,56426602,0.16,4.7
2025-09-03,2025,9,Tapanuli Utara,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,12986140,9,98175218,78538167,19637051,0.16,3.8
2025-10-17,2025,10,Karo,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,4770532,8,35492758,24869105,10623653,0.07,4.7
2025-09-12,2025,9,Padangsidimpuan,DT-3001,Tablet Plus,Electronics,Tablet,Distributor,Individual,7155520,41,284575030,218323950,66251080,0.03,4.3
2025-01-04,2025,1,Sibolga,DT-1001,Laptop Pro,Electronics,Laptop,Retail,Individual,16792585,8,114189578,75329241,38860337,0.15,4.7
2025-05-25,2025,5,Mandailing Natal,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,19041902,1,13710169,10577617,3132552,0.28,4.6
2025-05-04,2025,5,Mandailing Natal,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,5549845,15,76587861,50355102,26232759,0.08,4.0
2025-04-20,2025,4,Pematangsiantar,DT-2002,Smartphone Lite,Electronics,Smartphone,Distributor,Individual,5295863,12,59737334,47750350,11986984,0.06,4.9
2025-08-05,2025,8,Medan,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,4050000,1,2430000,1631899,798101,0.4,3.7
2025-10-06,2025,10,Asahan,DT-2002,Smartphone Lite,Electronics,Smartphone,Online,Individual,6111276,3,15217077,11796371,3420706,0.17,3.7
2025-07-03,2025,7,Deli Serdang,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,2130832,8,8523328,6806088,1717240,0.5,4.7
2025-11-05,2025,11,Karo,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,13599361,8,94651552,63503370,31148182,0.13,4.3
2025-11-30,2025,11,Tapanuli Utara,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,7019144,14,89423894,54419573,35004321,0.09,4.7
2025-12-08,2025,12,Tanjungbalai,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,9974844,18,118501146,75343656,43157490,0.34,4.1
2025-08-26,2025,8,Langkat,DT-1001,Laptop Pro,Electronics,Laptop,Distributor,Individual,17212042,25,404482987,331550564,72932423,0.06,3.8
2025-06-22,2025,6,Padangsidimpuan,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Individual,3029042,3,5452275,3453954,1998321,0.4,4.3
2025-12-12,2025,12,Sibolga,DT-1002,Laptop Air,Electronics,Laptop,Distributor,Individual,14292383,26,289849527,210291256,79558271,0.22,4.1
2025-10-28,2025,10,Tanjungbalai,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,14093409,10,132478044,91139944,41338100,0.06,4.4
2025-05-14,2025,5,Tapanuli Utara,DT-1002,Laptop Air,Electronics,Laptop,Online,Individual,11317859,4,33500862,21172749,12328113,0.26,4.0
2025-08-15,2025,8,Deli Serdang,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,10554166,7,66491245,43339778,23151467,0.1,3.6
2025-09-24,2025,9,Gunungsitoli,DT-3001,Tablet Plus,Electronics,Tablet,Online,Business,7243796,4,22310891,14351800,7959091,0.23,4.1
2025-05-02,2025,5,Tebing Tinggi,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,3441223,3,7845988,5754111,2091877,0.24,4.0
2025-05-18,2025,5,Gunungsitoli,DT-1001,Laptop Pro,Electronics,Laptop,Retail,Individual,17247919,13,181620587,131062743,50557844,0.19,3.7
2025-12-15,2025,12,Medan,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Individual,2315923,8,11301704,6895781,4405923,0.39,4.4
2025-08-03,2025,8,Sibolga,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,10816065,10,98426191,76367250,22058941,0.09,4.2
2025-08-21,2025,8,Medan,DT-2001,Smartphone X,Electronics,Smartphone,Online,Individual,10815937,8,54512322,42473437,12038885,0.37,3.7
2025-02-03,2025,2,Tebing Tinggi,DT-1002,Laptop Air,Electronics,Laptop,Online,Individual,12137011,1,9224128,5739379,3484749,0.24,4.4
2025-01-16,2025,1,Langkat,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Business,3782981,8,26632186,21073164,5559022,0.12,3.9
2025-12-18,2025,12,Simalungun,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Business,4311070,5,12502103,9242152,3259951,0.42,4.6
2025-12-05,2025,12,Deli Serdang,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,4586778,12,37428108,23995052,13433056,0.32,3.6
2025-07-15,2025,7,Mandailing Natal,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,13307446,3,26747966,16933888,9814078,0.33,3.8
2025-04-07,2025,4,Padangsidimpuan,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,3288479,3,7991003,6206720,1784283,0.19,5.0
2025-10-16,2025,10,Tanjungbalai,DT-2002,Smartphone Lite,Electronics,Smartphone,Distributor,Individual,3565759,41,133038468,83952853,49085615,0.09,4.6
2025-03-11,2025,3,Medan,DT-1001,Laptop Pro,Electronics,Laptop,Retail,Business,16292595,3,35192005,21631006,13560999,0.28,3.5
2025-02-05,2025,2,Medan,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,3512692,8,19952090,15496722,4455368,0.29,4.9
2025-09-19,2025,9,Asahan,DT-2001,Smartphone X,Electronics,Smartphone,Online,Individual,10814735,8,58832158,35546373,23285785,0.32,4.2
2025-04-23,2025,4,Langkat,DT-3001,Tablet Plus,Electronics,Tablet,Online,Individual,5199495,5,21837879,15427014,6410865,0.16,4.8
2025-12-18,2025,12,Binjai,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,11026477,15,99238293,78481856,20756437,0.4,3.6
2025-02-22,2025,2,Tanjungbalai,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,7106342,10,60403907,43524964,16878943,0.15,4.8
2025-06-11,2025,6,Padangsidimpuan,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,12074831,4,38156465,25547719,12608746,0.21,4.7
2025-08-04,2025,8,Pematangsiantar,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,16189038,6,61194563,48069887,13124676,0.37,3.8
2025-12-30,2025,12,Simalungun,DT-2002,Smartphone Lite,Electronics,Smartphone,Online,Individual,4190371,9,24513670,15203358,9310312,0.35,4.0
2025-05-25,2025,5,Karo,DT-2002,Smartphone Lite,Electronics,Smartphone,Online,Individual,5035094,1,3222460,2602623,619837,0.36,4.2
2025-09-24,2025,9,Tapanuli Utara,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,16587675,3,28364924,20975051,7389873,0.43,4.2
2025-10-19,2025,10,Medan,DT-3001,Tablet Plus,Electronics,Tablet,Distributor,Individual,5067349,24,114319393,80473094,33846299,0.06,4.8
2025-03-22,2025,3,Deli Serdang,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,4905366,4,14519883,9462552,5057331,0.26,4.4
2025-10-06,2025,10,Pematangsiantar,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,17901611,1,10740966,6699023,4041943,0.4,4.1
2025-12-25,2025,12,Gunungsitoli,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,4505082,8,25588865,18423000,7165865,0.29,3.7
2025-09-01,2025,9,Simalungun,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,15177630,3,36426312,24925731,11500581,0.2,4.4
2025-10-04,2025,10,Medan,DT-3001,Tablet Plus,Electronics,Tablet,Online,Business,5718836,3,14068336,11120268,2948068,0.18,4.5
2025-05-10,2025,5,Medan,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,13931835,1,10727512,7506287,3221225,0.23,3.9
2025-09-18,2025,9,Karo,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,13165570,5,50687444,41435102,9252342,0.23,3.8
2025-08-29,2025,8,Pematangsiantar,DT-1002,Laptop Air,Electronics,Laptop,Retail,Individual,11660309,8,88618348,66819120,21799228,0.05,4.1
2025-02-07,2025,2,Medan,DT-2002,Smartphone Lite,Electronics,Smartphone,Online,Business,5305567,6,23238383,15241950,7996433,0.27,4.6
2025-06-28,2025,6,Medan,DT-3001,Tablet Plus,Electronics,Tablet,Online,Individual,5272674,5,13181685,10644899,2536786,0.5,4.9
2025-11-27,2025,11,Deli Serdang,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,6933935,5,31202707,23660484,7542223,0.1,4.5
2025-10-05,2025,10,Binjai,DT-1002,Laptop Air,Electronics,Laptop,Online,Individual,10932460,5,39356856,27630233,11726623,0.28,3.7
2025-12-11,2025,12,Tebing Tinggi,DT-2002,Smartphone Lite,Electronics,Smartphone,Online,Business,5892154,7,26396849,20873448,5523401,0.36,3.6
2025-08-17,2025,8,Pematangsiantar,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,15893724,5,50065230,38196377,11868853,0.37,4.4
2025-08-12,2025,8,Deli Serdang,DT-2001,Smartphone X,Electronics,Smartphone,Distributor,Individual,12000159,20,230403052,162008643,68394409,0.04,4.6
2025-04-21,2025,4,Padangsidimpuan,DT-3001,Tablet Plus,Electronics,Tablet,Distributor,Individual,7567835,33,237251627,179175936,58075691,0.05,4.7
2025-07-03,2025,7,Binjai,DT-3001,Tablet Plus,Electronics,Tablet,Online,Individual,6369491,11,45541860,29935592,15606268,0.35,4.6
2025-12-18,2025,12,Tebing Tinggi,DT-1002,Laptop Air,Electronics,Laptop,Distributor,Individual,14724009,43,500174585,326301726,173872859,0.21,4.2
2025-08-07,2025,8,Karo,DT-3001,Tablet Plus,Electronics,Tablet,Online,Business,5958040,4,14060974,10939526,3121448,0.41,4.5
2025-08-30,2025,8,Tapanuli Utara,DT-3001,Tablet Plus,Electronics,Tablet,Online,Business,6806060,3,15517816,11869723,3648093,0.24,4.1
2025-10-18,2025,10,Simalungun,DT-1001,Laptop Pro,Electronics,Laptop,Retail,Individual,15787930,11,151090490,110484406,40606084,0.13,4.4
2025-03-03,2025,3,Simalungun,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,4379749,17,65521045,42627975,22893070,0.12,3.8
2025-10-14,2025,10,Padangsidimpuan,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,2923987,8,17543922,10853814,6690108,0.25,3.5
2025-03-13,2025,3,Gunungsitoli,DT-3001,Tablet Plus,Electronics,Tablet,Online,Individual,7536044,6,29842734,23025889,6816845,0.34,3.7
2025-10-10,2025,10,Sibolga,DT-2001,Smartphone X,Electronics,Smartphone,Distributor,Individual,9514393,35,313023529,205064828,107958701,0.06,4.7
2025-10-23,2025,10,Sibolga,DT-2002,Smartphone Lite,Electronics,Smartphone,Distributor,Individual,4993526,45,215720323,134746696,80973627,0.04,4.1
2025-07-30,2025,7,Asahan,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,2507117,9,15343556,9625425,5718131,0.32,4.3
2025-06-30,2025,6,Langkat,DT-4001,Smartwatch,Wearables,Smartwatch,Retail,Business,3082544,6,13131637,9418606,3713031,0.29,4.6
2025-01-22,2025,1,Karo,DT-2002,Smartphone Lite,Electronics,Smartphone,Retail,Individual,4638624,10,35253542,28763188,6490354,0.24,4.6
2025-01-02,2025,1,Gunungsitoli,DT-3001,Tablet Plus,Electronics,Tablet,Retail,Individual,8025629,15,110753680,90798706,19954974,0.08,4.0
2025-12-29,2025,12,Tanjungbalai,DT-4001,Smartwatch,Wearables,Smartwatch,Online,Individual,2573682,1,1286841,857143,429698,0.5,4.1
2025-04-15,2025,4,Pematangsiantar,DT-1001,Laptop Pro,Electronics,Laptop,Online,Individual,16939504,6,71145916,58062122,13083794,0.3,3.9
2025-02-08,2025,2,Padangsidimpuan,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,9985152,2,17374164,11547913,5826251,0.13,4.0
2025-05-19,2025,5,Tebing Tinggi,DT-1001,Laptop Pro,Electronics,Laptop,Distributor,Individual,16530000,40,641364000,462805496,178558504,0.03,4.3
2025-04-25,2025,4,Tebing Tinggi,DT-3001,Tablet Plus,Electronics,Tablet,Online,Individual,6710599,2,9529050,6362878,3166172,0.29,4.4
2025-06-26,2025,6,Binjai,DT-2001,Smartphone X,Electronics,Smartphone,Retail,Individual,11139110,7,53801901,32497302,21304599,0.31,4.4
2025-08-12,2025,8,Gunungsitoli,DT-1002,Laptop Air,Electronics,Laptop,Distributor,Individual,12660695,43,528077588,425396218,102681370,0.03,4.1
2025-09-11,2025,9,Tapanuli Utara,DT-1001,Laptop Pro,Electronics,Laptop,Distributor,Business,17966699,44,743102670,511723917,231378753,0.06,4.7
